Name	Brand	Release_Year	Concentration	Rating_Value	Rating_Count	Main_Accords	Top_Notes	Middle_Notes	Base_Notes	Perfumers
Love Frills - Dark Extacy	La Perla	2007	NA	8	109	Gourmand, Sweet, Creamy, Woody, Powdery	NA	NA	NA	NA
Love in Black	Creed	2008	NA	6.5	148	Floral, Spicy, Fruity, Powdery, Sweet	White violet	Florentine iris, Clove	Violet, Rose, Burgundy blackcurrant	NA
Love in Idleness	Atkinsons	2015	NA	7.4	107	Floral, Sweet, Fruity, Powdery, Fresh	Raspberry, Grasse violet leaf	Grasse violet, Iris, Heliotrope	Patchouli, Tree moss	Fabrice Pellegrin
Love In Paris	Nina Ricci	2004	NA	7.2	59	Floral, Fruity, Sweet, Fresh, Powdery	Star anise, Bergamot	Peony, Rose	Musk, Vanilla, Woody notes	Aurélien Guichard
Love In White	Creed	2005	NA	6.5	308	Floral, Fresh, Synthetic, Powdery, Citrus	Orange zest	Florentine iris, Magnolia, Yellow narcissus	Vanilla, Ambergris, Mysore sandalwood	NA
Love in White for Summer	Creed	2018	NA	7	67	Floral, Fresh, Green, Fruity, Creamy	Apple, Cranberry, Peach, Red berries	Rice, Jasmine, Florentine iris, Virginia cedar, Freesia	Virginia cedar	NA
Love Life	Avon	2015	NA	7.7	53	Fruity, Sweet, Fresh, Leathery, Woody	Fruits, Caramel, Pineapple, Bergamot, Rhubarb, Cardamom, Fish	Ambroxan, Tea, Cashmere wood, Mango, Carcass	Vanilla, Suede, Tonka bean, ISO-E-Super, Tobacco, Moss, Sandalwood	NA
Love Mimosa	Amouage	2019	NA	7.3	247	Floral, Powdery, Sweet, Fruity, Fresh	Cascalone®, Iris, Violet leaf	Mimosa, Paradisone®, Pear	Ambrox, Heliotrope, Ylang-ylang	Elise Bénat
Love Poison	Boadicea the Victorious	1994	NA	7.1	147	Floral, Fresh, Fruity, Sweet, Powdery	Cherry, Blackcurrant, Freesia	Cherry blossom, Lily of the valley, Dankness	Musk, Rosewood, Amber, Zorplox	NA
Love Potion Oriflame 2011 Eau de Parfum	Oriflame	2011	Eau de Parfum	7.2	116	Sweet, Gourmand, Fruity, Floral, Oriental	Ginger, Mandarin orange, Rum	Vanilla, White lily, Cocoa blossom	Chocolate, Tonka bean, Sandalwood	Jean Jacques
Love Shot	Ex Nihilo	2016	NA	7.6	87	Sweet, Fruity, Floral, Leathery, Spicy	Peony, Pink pepper, Bergamot	Patchouli, Raspberry, Jasmine	Leather, Vetiver, Musk, Vanilla	Nathalie Gracia-Cetto
Love Story Chloé 2014 Eau de Parfum	Chloé	2014	Eau de Parfum	6.9	315	Floral, Fresh, Sweet, Citrus, Powdery	Neroli, Cape gooseberry	Orange blossom absolute, Stephanotis	Petitgrain, Cedarwood	Anne Flipo
Love Story Chloé 2016 Eau de Toilette	Chloé	2016	Eau de Toilette	7.3	81	Floral, Fresh, Fruity, Synthetic, Citrus	NA	NA	NA	Anne Flipo, IFF (International Flavors & Fragrances)
Love Story Eau Sensuelle	Chloé	2017	NA	7.5	73	Floral, Sweet, Powdery, Fresh, Fruity	NA	NA	NA	Anne Flipo, Domitille Michalon-Bertier
Love the way you Taste	Kilian	2018	NA	8	59	Green, Fresh, Citrus, Floral, Spicy	Peppermint, Lemon	Green leaves, Magnolia	Vetiver	Sidonie Lancesseur
Love Tuberose	Amouage	2018	NA	8	299	Floral, Creamy, Sweet, Powdery, Gourmand	Tuberose, Gardenia, Jasmine	Vanilla, Cream	Sandalwood, Virginia cedar	Nathalie Lorson
Love,	Chloé	2010	NA	7.7	513	Powdery, Floral, Sweet, Fresh, Spicy	Orange blossom, Pink pepper	Heliotrope, Hyacinth, Iris, Lilac, Wisteria	Talcum, Musk, Rice powder	Louise Turner, Nathalie Gracia-Cetto
Love, Chloé Eau Florale	Chloé	2012	NA	7.9	132	Powdery, Floral, Fresh, Sweet, Green	Sweet pea	Maté	Powdery notes	Louise Turner, Nathalie Gracia-Cetto, Givaudan
Love, Chloé Eau Intense	Chloé	2011	NA	8.2	267	Powdery, Floral, Sweet, Oriental, Spicy	Iris, Heliotrope	Hyacinth, Lilac, Wisteria	Talcum, Peru balsam, Vanilla, Musk	Louise Turner, Nathalie Gracia-Cetto
Lovefest Burning Cherry | 48	Kayali	2022	NA	7.6	327	Fruity, Sweet, Gourmand, Woody, Smoky	Black cherry, Raspberry, Bergamot	Praliné, Damask rose, Heliotrope, Jasmine sambac	Tonka bean absolute, Ambrettolide, Gaiac wood, Palo Santo, Patchouli, Peru balsam, Haitian vetiver	Philippine Courtière, Gabriela Chelariu, Firmenich
Lovely Lights	Sarah Jessica Parker	2011	NA	7.9	111	Sweet, Floral, Fruity, Creamy, Woody	Plum, Almond, Coconut, Peach, Malodor	Lily of the valley, Jasmine, Magnolia, Musk rose, Tuberose, Freesia, Iris	Sandalwood, Musk, Vanilla, Oakmoss, Spoilage	Paolo Terenzi
Lovely Sarah Jessica Parker 2005 Eau de Parfum	Sarah Jessica Parker	2005	Eau de Parfum	7.1	286	Floral, Powdery, Woody, Fresh, Sweet	Lavender, Apple, Mandarin orange, Rosewood, Bergamot	Bunch-flowered narcissus, Patchouli, Orchid	Musk, Woods, Cedarwood, White amber	Laurent Le Guernec, Clément Gavarry
Lover Man	Haute Fragrance Company	2017	NA	6.5	51	Spicy, Woody, Sweet, Resinous, Gourmand	Myrrh, Saffron, Calabrian bergamot	Spicy notes, Atlas cedar, Cocoa bean	Cashmere wood, Gaiac wood, Oud	Vincent Ricord
Loverdose	Diesel	2011	NA	6.5	372	Sweet, Gourmand, Spicy, Synthetic, Oriental	Star anise, Mandarin orange	Liquorice, Gardenia, Jasmine sambac	Licorice liqueur, Vanilla, Ambroxan, Woods	Olivier Cresp, Honorine Blanc, Firmenich
Loverdose Red Kiss	Diesel	2015	NA	7.3	192	Sweet, Gourmand, Fruity, Floral, Synthetic	Blackcurrant, Green apple, Bergamot	Hazelnut, Orange blossom, Apricot	Vanilla, Amberwood, Cocoa, Patchouli	Mathilde Bijaoui, Violaine Collas, Mane
Loverdose Tattoo	Diesel	2013	NA	6.6	144	Sweet, Gourmand, Fruity, Floral, Powdery	Blackcurrant, Mandarin orange, Bergamot	Jasmine sambac, Orange blossom, Rose	Vanilla, Tonka bean, Rice, Milk	Anne Flipo, Pascal Gaurin
Lovers	Fragrance Du Bois	2023	NA	7.1	75	Spicy, Sweet, Fruity, Floral, Woody	Passion fruit, Bergamot, Ginger, Plum	Rose, Saffron, Jasmine	Cashmere wood, Patchouli, Cedarwood, Sandalwood, Vetiver	Shadi Samra
Lovestruck	Vera Wang	2011	NA	6.2	79	Floral, Fruity, Sweet, Fresh, Woody	Pink guava, Mandarin orange	Lotus, Tuberose	Musk, Woods	Stephen Nilsen
Loyal Man Bruno Banani 2019 Eau de Parfum	Bruno Banani	2019	Eau de Parfum	5.8	79	Synthetic, Fruity, Sweet, Woody, Green	Cosmofruit®, Apple, Lemon, Ginger	Provençal lavender, Spearmint, Balsam fir, Geranium	Amber Xtreme™, Patchouli, Tonka bean, Cedarwood	NA
LP No.9 for Ladies	Penhaligon's	1998	NA	6.7	134	Floral, Spicy, Oriental, Woody, Powdery	Lavender, Geranium, Bergamot, Tarragon, Lemon	Carnation, Jasmine, Rose	Musk, Amber, Cedar, Cinnamon, Patchouli, Vanilla	Christian Provenzano
LP No.9 for Men	Penhaligon's	1998	NA	7.3	106	Spicy, Woody, Sweet, Oriental, Floral	Bergamot, Rosewood, Mandarin orange	Clove, Nutmeg, Cinnamon, Pepper, Iris, Jasmine, Rose, Ylang-ylang	Musk, Vanilla, Amber, Patchouli	Christian Provenzano
Lua	XerJoff	2009	NA	7.6	217	Floral, Sweet, Powdery, Fruity, Fresh	Melon, Bergamot, Orange	Bulgarian rose, Iris, Lily of the valley, Pink pepper	Musk, Vanilla, Cedarwood, Patchouli	NA
Luberon	Maria Candida Gentile	2012	NA	7.9	58	Floral, Spicy, Green, Fresh, Fougère	Lavender	May rose	Oakmoss	Maria Candida Gentile
