Name	Brand	Release_Year	Concentration	Rating_Value	Rating_Count	Main_Accords	Top_Notes	Middle_Notes	Base_Notes	Perfumers
Bvlgari Man Black Cologne	Bvlgari	2016	NA	7.2	126	Spicy, Fresh, Citrus, Sweet, Woody	Rum, Citrus notes	Tuberose, Neroli	Sandalwood, Benzoin	Alberto Morillas
Bvlgari Man Black Orient	Bvlgari	2016	NA	8	168	Oriental, Spicy, Woody, Leathery, Smoky	Rum, Cardamom	Tuberose, Taif rose	Leather, Oud	Alberto Morillas
Bvlgari Man Bvlgari 2010 Eau de Toilette	Bvlgari	2010	Eau de Toilette	6.7	308	Woody, Fresh, Spicy, Green, Citrus	NA	NA	NA	Alberto Morillas
Bvlgari Man Extreme	Bvlgari	2013	NA	7.2	248	Fresh, Citrus, Woody, Spicy, Green	Calabrian bergamot, Cactus peel, Pink grapefruit	Freesia, Guatemala cardamom, Amber	Benzoin Siam, Haitian vetiver, Balsa wood	Alberto Morillas
Bvlgari Man Glacial Essence	Bvlgari	2020	NA	6.6	167	Fresh, Synthetic, Aquatic, Woody, Spicy	Juniper berry, Geranium, Ginger	Sandalwood, Artemisia, Orris concrete	Clearwood™, Musk, Nootka cypress	Alberto Morillas
Bvlgari Man In Black All Blacks Limited Edition	Bvlgari	2015	NA	8.2	67	Woody, Spicy, Sweet, Leathery, Oriental	Rum, Tobacco	Leather, Orris absolute, Tuberose	Gaiac wood, Tonka bean, Benzoin	Alberto Morillas
Bvlgari Man In Black Essence	Bvlgari	2017	NA	8	155	Woody, Spicy, Sweet, Oriental, Gourmand	Rum, Bitter orange	Cocoa bean, Orris absolute	Ebony, Tonka bean	Alberto Morillas
Bvlgari Man In Black Parfum	Bvlgari	2024	NA	7.7	51	Spicy, Resinous, Oriental, Woody, Sweet	Black pepper, Cinnamon, Philippine elemi, Cardamom	Tuberose absolute, Iris	Benzoin, Cypriol, Patchouli	Alberto Morillas
Bvlgari Man Rain Essence	Bvlgari	2023	NA	7.1	107	Fresh, Aquatic, Citrus, Woody, Synthetic	Green tea, Orange	Crystal musk, White lotus	Amber, Gaiac wood	Alberto Morillas
Bvlgari Man Terrae Essence	Bvlgari	2021	NA	7.2	243	Earthy, Woody, Citrus, Spicy, Smoky	Calabrian citron, Calamondin	Vetiver, Orris concrete	Earthy notes, Styrax	Alberto Morillas
Bvlgari Man Wood Essence	Bvlgari	2018	NA	6.6	459	Woody, Synthetic, Green, Fresh, Spicy	Coriander, Italian citrus zest	Cypress, Haitian vetiver	Cedarwood, Benzoin Siam, Ambergris	Alberto Morillas
Bvlgari Man Wood Neroli	Bvlgari	2019	NA	7.5	400	Fresh, Citrus, Woody, Floral, Green	Neroli, Bergamot, Salty notes	Orange blossom absolute, Cypress, White cedarwood	Ambroxan, Musk, Amber	Alberto Morillas
Bvlgari pour Femme Bvlgari 1994 Eau de Parfum	Bvlgari	1994	Eau de Parfum	7.7	272	Floral, Powdery, Sweet, Fresh, Spicy	Orange blossom, Violet leaf, Bergamot	Jasmine, Mimosa, Rose	Iris, Musk, Sandalwood	Sophia Grojsman, Nathalie Lorson
Bvlgari pour Homme Bvlgari 1995 Eau de Toilette	Bvlgari	1995	Eau de Toilette	7.3	274	Fresh, Woody, Spicy, Citrus, Green	Tea, Bergamot, Aldehydes, Lavender, Blackcurrant blossom, Neroli, Mace, Mandarin orange	Geranium, Cardamom, Carnation, Coriander, Cyclamen, Gaiac wood, Iris, Pepper, Rosewood	Musk, Cedar, Vetiver, Amber, Oakmoss, Tonka bean	Jacques Cavallier-Belletrud
Bvlgari pour Homme Bvlgari 2024 Eau de Parfum	Bvlgari	2024	Eau de Parfum	7.8	60	Fresh, Woody, Spicy, Citrus, Green	Ginger, Darjeeling tea	Ceylon tea, Gaiac wood	Ambrette seed absolute, Musk	Jacques Cavallier-Belletrud
Bvlgari pour Homme Extrême	Bvlgari	1999	NA	7.8	206	Fresh, Citrus, Woody, Green, Spicy	Grapefruit, Bergamot, Tea, Neroli, Petitgrain, Galbanum, Coriander, Lavender	Pepper, Cardamom, Nutmeg, Gaiac wood, Rosewood	Cedar, Musk, Oakmoss, Iris, Sandalwood	Jacques Cavallier-Belletrud
Bvlgari pour Homme Soir Bvlgari 2006 Eau de Toilette	Bvlgari	2006	Eau de Toilette	6.8	142	Fresh, Woody, Synthetic, Spicy, Green	Darjeeling tea	Papyrus	Musk, Amber	NA
By Man	Dolce & Gabbana	1998	NA	8.7	172	Spicy, Sweet, Woody, Oriental, Floral	Pepper, Hedione	Artemisia, Lavender	Amber, Gaiac wood, Ambrox, Sandalwood, Leather	NA
By Night (White)	Profumi del Forte	2009	NA	8	360	Powdery, Sweet, Floral, Gourmand, Citrus	Sicilian lemon, Bergamot, Black pepper, Coriander seed, Petitgrain	Orange blossom, Orchid, Rose, Jasmine absolute, Violet	Heliotrope, Vanilla, Tonka bean, White musk, Benzoin, Sandalwood	NA
By Night Christina Aguilera 2009 Eau de Parfum	Christina Aguilera	2009	Eau de Parfum	7	269	Sweet, Fruity, Floral, Oriental, Gourmand	Freesia, Pineapple, Red apple, Mandarin orange, Rhubarb	Peach blossom, Hawthorn, Heliotrope	Vanilla, Sandalwood, Amber, Moss	Jérôme Epinette
By Woman Dolce & Gabbana 1997 Eau de Parfum	Dolce & Gabbana	1997	Eau de Parfum	7.6	70	Floral, Spicy, Woody, Sweet, Fruity	Bergamot, Clementine, Lily of the valley, Cyclamen	Sandalwood, Vanilla	Cedarwood, Coffee, Musk, Vanilla	NA
Byerley	Parfums de Marly	2013	NA	7.1	179	Woody, Spicy, Green, Resinous, Earthy	Bergamot, Cardamom	Gaiac wood, Cedarwood	Java vetiver, Amber	NA
Byzance	Ormonde Jayne	2020	NA	7.7	65	Fruity, Creamy, Sweet, Floral, Woody	Milk, Pink pepper, Blackcurrant bud	White woods, Orris butter, Cashmeran	Balsamic notes, Suede, Moss, Bourbon vanilla	NA
Byzantine Amber	Francesca Bianchi	2023	NA	8.1	116	Leathery, Smoky, Resinous, Spicy, Oriental	Cinnamon, Bergamot	Geranium	Ambergris, Benzoin, Labdanum, Styrax, Leather, Frankincense	Francesca Bianchi
Byzantium Saffron The Merchant Of Venice 2013 Eau de Parfum	The Merchant Of Venice	2013	Eau de Parfum	7.6	162	Leathery, Spicy, Woody, Oriental, Smoky	Greek saffron, Thyme	White suede, Cedarwood, White lily	Crystal amber, Indonesian patchouli, Vanilla	NA
Byzantium	Tesori d'Oriente	2016	NA	7.5	509	Sweet, Powdery, Oriental, Gourmand, Creamy	Almond, Cinnamon, Mimosa	Heliotrope, Honey, Black rose	Vanilla, Cocoa bean, Labdanum, Oud, Peru balsam, White musk	NA
C for Men	Clive Christian	2010	NA	8.2	190	Leathery, Spicy, Smoky, Woody, Fruity	Elemi resin, Mandarin orange, Thyme, Leaves, Lemon, Maté, Tea	Raspberry, Cardamom, Clove, Orris root, Saffron, Cinnamon, Cistus, Jasmine, Rose	Leather, Frankincense, Oud, Amber, Cedar, Costus, Cypress, Gaiac wood, Styrax, Tobacco, Tonka bean, Tree moss, Vanilla, Musk	Christian Provenzano
C for Women	Clive Christian	2010	NA	7.9	67	Floral, Oriental, Spicy, Sweet, Woody	Pot marigold, Mandarin orange, Narcissus, Bergamot, Cognac, Coriander seed, Geranium, Petitgrain	Tuberose, Jasmine, Orange blossom, Ylang-ylang, Rose, Violet, Cistus, Osmanthus	Amber, Musk, Vanilla, Tonka bean, Vetiver, Sandalwood	NA
C: Woody Leather	Clive Christian	2017	NA	8.7	140	Leathery, Woody, Spicy, Smoky, Oriental	Mandarin orange	Saffron	Leather, Tobacco, Oud	NA
Cèdre Blanc	Creed	2014	NA	6.9	90	Fresh, Woody, Floral, Citrus, Spicy	Bergamot, Galbanum, Laurel, Cardamom	Waterlily, Geranium, Jasmine	Cedarwood, Vetiver, Sandalwood	Julien Rasquinet
Cèdre	L.T. Piver	NA	NA	7	66	Woody, Spicy, Resinous, Fruity, Powdery	NA	NA	NA	NA
Cèdre Sambac	Hermès	2018	NA	6.9	63	Woody, Floral, Creamy, Spicy, Animal	NA	NA	NA	Christine Nagel
Cèdre Secret	Kenzo	2022	NA	7.8	51	Woody, Sweet, Powdery, Floral, Creamy	Orange blossom	Cedarwood	Tonka bean	Nelly Hachem Ruiz
Cèdre	Serge Lutens	2005	NA	7.5	354	Spicy, Woody, Floral, Oriental, Sweet	NA	NA	NA	Christopher Sheldrake, Serge Lutens
Côte d'Amour	L'Artisan Parfumeur	2009	NA	6.4	57	Fresh, Woody, Floral, Citrus, Spicy	Rosemary, Salt, Green mandarin orange, Pink grapefruit	Broom, Cypress, Dune flower, Coconut, Rose	Broom, Driftwood, Heather, Pine	Céline Ellena
Cœur Battant	Louis Vuitton	2019	NA	7.7	115	Fruity, Floral, Fresh, Sweet, Woody	Pear, Ambrette seed, Cascalone®	Egyptian jasmine, Ylang-ylang, Narcissus	Moss, Patchouli	Jacques Cavallier-Belletrud
Cœur de fille... Jeux interdits	Des Filles à la Vanille	2002	NA	7.5	140	Spicy, Woody, Earthy, Fresh, Green	Cardamom, Bergamot	Patchouli, Papyrus, Vetiver	Amber, Moss, Vanilla	Michel Almairac, Mylène Alran
Cœur de Fleur	Miller Harris	2000	NA	6.7	58	Floral, Fresh, Powdery, Fruity, Green	NA	NA	NA	Lyn Harris
Cœur de Jardin	Miller Harris	2015	NA	7.4	71	Floral, Fresh, Fruity, Citrus, Sweet	Pear, Italian bergamot, Italian lemon, Peach	Turkish rose, Jasmine absolute, Tuberose absolute, Vanilla	Moss, Patchouli, Amber, Musk, Orris butter	Jean-Michel Santorini, Michele Saramito
Cœur de Noir	Beaufort	2015	NA	7.7	184	Smoky, Spicy, Leathery, Woody, Resinous	Bergamot, Black pepper, Ginger, Ink, Lemon, Rum	Lavender, Leather, Suede, Woods, Paper, Vanilla	Birch tar, Frankincense, Labdanum, Cedarwood, Tobacco	Julie Dunkley, Julie Marlowe
Cœur de Vétiver Sacré	L'Artisan Parfumeur	2010	NA	7.5	153	Spicy, Green, Fruity, Woody, Smoky	Black tea, Dried fruits, Date, Bergamot	Ginger, Pink pepper, Saffron	Frankincense, Vetiver, Musk, Vanilla	Karine Vinchon-Spehner
Cédrat Intense	Nicolaï / Parfums de Nicolaï	2008	NA	7.5	64	Citrus, Fresh, Spicy, Woody, Fruity	Citron, Lemon, Lemon petitgrain	Black pepper, Chamomile, Pink pepper, Ylang-ylang	Musk, Oakmoss, Patchouli, Opoponax absolute	Patricia de Nicolaï
Cašmir Chopard 1991 Eau de Parfum	Chopard	1991	Eau de Parfum	7.2	858	Sweet, Oriental, Gourmand, Floral, Powdery	Coconut, Peach, Bergamot, Mango	Geranium, Jasmine, Lily of the valley	Vanilla, Amber, Musk, Sandalwood, Woods, Patchouli	Michel Almairac
Cašran Chopard 2000 Eau de Toilette	Chopard	2000	Eau de Toilette	7.9	91	Oriental, Spicy, Woody, Sweet, Gourmand	Cardamom, Bergamot, Coriander, Rum	Plum, Cherry, Chocolate, Date	Vanilla, Amber, Benzoin, Sandalwood	Nathalie Lorson
Cabal pour Homme	Miro	2003	NA	7.1	233	Sweet, Spicy, Oriental, Fresh, Synthetic	Bergamot, Cardamom, Mint	Lavender, Cinnamon, Apple blossom	Tonka bean, Musk, Sandalwood, Vanilla, Virginia cedar	NA
Cabaret	Grès	2003	NA	7.1	134	Floral, Woody, Chypre, Spicy, Powdery	Rose, Lily of the valley, Peony	Frankincense, Iris, Violet	Musk, Sandalwood, Amber, Patchouli, Oleander	Michel Almairac
Cabochard Grès 1959 Eau de Toilette	Grès	1959	Eau de Toilette	8.4	78	Chypre, Leathery, Spicy, Woody, Floral	Aldehydes, Sage, Spices, Tarragon, Asafoetida, Citrus fruits, Fruits	Geranium, Jasmine, Orris root, Rose, Ylang-ylang	Oakmoss, Leather, Musk, Vetiver, Amber, Patchouli, Sandalwood, Tobacco, Coconut	Bernard Chant
Cabochard Grès 1959 Parfum	Grès	1959	Parfum	7.7	243	Chypre, Leathery, Spicy, Woody, Floral	Aldehydes, Sage, Spices, Tarragon, Asafoetida, Citrus fruits, Fruits	Geranium, Jasmine, Orris root, Rose, Ylang-ylang	Oakmoss, Leather, Musk, Vetiver, Amber, Patchouli, Sandalwood, Tobacco, Coconut	Bernard Chant
Cabochard Grès 1995 Eau de Toilette	Grès	1995	Eau de Toilette	8	59	Chypre, Spicy, Green, Leathery, Floral	Persian galbanum, Comorian ylang-ylang	Grasse jasmine, Bulgarian rose	Moroccan oakmoss, Indonesian patchouli, Bourbon vetiver, Tibetan musk	NA
Cabochard Grès 2019 Eau de Parfum	Grès	2019	Eau de Parfum	8	128	Chypre, Leathery, Green, Floral, Spicy	Aldehydes, Galbanum, Sage	Jasmine, Rose, Ylang-ylang	Oakmoss, Leather, Patchouli, Sandalwood	NA
Cabotine Grès 1990 Eau de Parfum	Grès	1990	Eau de Parfum	7.9	55	Green, Floral, Fresh, Powdery, Fruity	Green notes, Orange blossom, Blackcurrant, Tagetes, Cassia, Peach, Coriander, Plum	Hyacinth, Tuberose, Carnation, Ginger, Jasmine, Violet, Ylang-ylang, Freesia, Heliotrope, Iris, Rose	Blackcurrant, Cedar, Civet, Musk, Vetiver, Amber, Tonka bean, Vanilla, Sandalwood	Jean-Claude Delville
Cabotine Grès 1990 Eau de Toilette	Grès	1990	Eau de Toilette	7.1	257	Floral, Green, Fresh, Spicy, Chypre	Green notes, Orange blossom, Blackcurrant, Tagetes, Cassia, Peach, Coriander, Plum	Hyacinth, Tuberose, Carnation, Ginger, Jasmine, Violet, Ylang-ylang, Freesia, Heliotrope, Iris, Rose	Blackcurrant, Cedar, Civet, Musk, Vetiver, Amber, Tonka bean, Vanilla, Sandalwood	Jean-Claude Delville
Cacao Aztèque Perris Monte Carlo 2017 Eau de Parfum	Perris Monte Carlo	2017	Eau de Parfum	6.8	125	Spicy, Woody, Floral, Sweet, Leathery	Cardamom, Black pepper, Pink pepper	Tuberose absolute, Orchid, Rum absolute, Pittosporum	Sandalwood, Cocoa absolute, Musk, Leather	Mathieu Nardin, Robertet
Cacao²	Maison Tahité	2021	NA	7.1	55	Gourmand, Sweet, Spicy, Woody, Smoky	Cinnamon	Labdanum, Roasted notes	Cocoa, Amber, Vanilla, Vetiver, Benzoin, Cedar	David Maruitte
Cacharel pour L'Homme Cacharel 1981 Eau de Toilette	Cacharel	1981	Eau de Toilette	7.9	299	Spicy, Woody, Citrus, Fresh, Green	Clary sage, Lemon, Bergamot, Lavender	Carnation, Geranium, Jasmine, Ylang-ylang, Cyclamen, Lily of the valley	Oakmoss, Vetiver, Amber, Cedar, Fir, Musk, Sandalwood	Gerard Goupy
Cactus Garden	Louis Vuitton	2019	NA	7.9	311	Fresh, Green, Citrus, Sweet, Spicy	NA	NA	NA	Jacques Cavallier-Belletrud
Café Chantant Nobile 1942 2013 Eau de Parfum	Nobile 1942	2013	Eau de Parfum	7.9	242	Sweet, Gourmand, Powdery, Fruity, Spicy	Sour cherry, Laurel	Heliotrope, Iris, Common marshmallow	Vanilla, Musk, Patchouli, Benzoin	Mathieu Nardin, Robertet
Café Rose	Tom Ford	2012	NA	7.7	260	Floral, Spicy, Woody, Sweet, Oriental	May rose, Saffron, Black pepper	Bulgarian rose, Coffee, Turkish rose	Frankincense, Amber, Patchouli, Sandalwood	Antoine Lie
Café Rose	Tom Ford	2023	NA	6.8	214	Floral, Spicy, Sweet, Earthy, Woody	NA	NA	NA	Antoine Lie
Café Tonka	Les Senteurs Gourmandes	2016	NA	7	93	Sweet, Gourmand, Spicy, Creamy, Synthetic	Saffron, Pepper	Coffee	Tonka bean, Amber	NA
Café V	Olympic Orchids Artisan Perfumes	2013	NA	7.6	62	Spicy, Woody, Leathery, Smoky, Earthy	NA	NA	NA	Dr. Ellen Covey
Café Vert	Il Profvmo	1998	NA	7.1	81	Green, Fresh, Floral, Citrus, Spicy	Mandarin orange, Pink grapefruit	Geranium, Cyclamen, Jasmine	Coffee	Silvana Casoli
Cairo	Penhaligon's	2018	NA	7.8	160	Oriental, Floral, Woody, Sweet, Spicy	Damask rose, Saffron, Frankincense	Labdanum, Nagarmotha	Ceylonese sandalwood, Patchouli, Atlas cedar, Vanilla	Christophe Raynaud
Cala Rossa	Santa Maria Novella	2014	NA	8.1	122	Spicy, Green, Fresh, Floral, Woody	Wild lavender, Eucalyptus, Mint	Cistus, Myrtle, Wild fennel, Everlasting flower, Rosemary	Oakmoss	NA
Calèche Eau Délicate	Hermès	2003	NA	7.6	55	Floral, Fresh, Powdery, Spicy, Woody	Ylang-ylang, Aldehydes	Rose, Jasmine	Sandalwood, Cedar	Fabrice Pellegrin
Calèche Hermès 1961 Eau de Toilette	Hermès	1961	Eau de Toilette	7.8	279	Floral, Chypre, Woody, Powdery, Spicy	Aldehydes, Cypress, Mandarin orange, Neroli, Orange blossom, Bergamot, Lemon	Gardenia, Iris, Jasmine, Lily of the valley, Rose, Ylang-ylang	Oakmoss, Amber, Cedar, Musk, Sandalwood, Tonka bean, Vetiver	Guy Robert
Calèche Hermès 1992 Soie de Parfum	Hermès	1992	Soie de Parfum	8.4	99	Floral, Chypre, Green, Spicy, Powdery	Aldehydes, Cypress, Mandarin orange, Neroli, Orange blossom, Bergamot, Lemon	Gardenia, Iris, Jasmine, Lily of the valley, Rose, Ylang-ylang	Oakmoss, Amber, Cedar, Musk, Sandalwood, Tonka bean, Vetiver	Guy Robert
Calamity J.	Juliette Has A Gun	2009	NA	7.5	242	Spicy, Oriental, Woody, Powdery, Sweet	Cinnamon	Patchouli, Iris, ISO-E-Super	Castoreum, Cetalox®, Labdanum, Muscenone®, Civet, Vanilla	Romano Ricci
Calandre Paco Rabanne 1990 Eau de Parfum	Paco Rabanne	1990	Eau de Parfum	7.6	89	Chypre, Floral, Green, Fresh, Spicy	Aldehydes, Leaf green, Bergamot	Iris, Lily of the valley, Geranium, Jasmine, Rose	Musk, Oakmoss, Ambergris, Sandalwood, Vetiver	Michel Hy
Calandre Paco Rabanne Eau de Toilette	Paco Rabanne	NA	Eau de Toilette	8	71	Floral, Chypre, Green, Woody, Citrus	Bergamot, Citrus notes	Lily of the valley, Hyacinth	Powdery notes, Woody notes	NA
Calar del Sole	ArteOlfatto - Luxury Perfumes	2002	NA	8.3	66	Woody, Fruity, Spicy, Fresh, Leathery	Blackberry, Coriander, Mandarin orange	Sage, Thyme, Tobacco flower	Oakmoss, Suede, Mahogany, Musk, Moplonk	Harry Frémont
Caliber	Al Halal	2015	NA	8	90	Sweet, Spicy, Floral, Oriental, Creamy	Ginger, Fume	Rose, Cinnamon, Nutmeg, Spoil	Labdanum, Musk, Oud, Benzoin, Animalic notes, Patchouli	NA
California Chocolate	Olympic Orchids Artisan Perfumes	2013	NA	7.3	64	Gourmand, Sweet, Fruity, Spicy, Citrus	NA	NA	NA	Dr. Ellen Covey
California Dream	Louis Vuitton	2020	NA	7.6	394	Fresh, Citrus, Fruity, Sweet, Synthetic	NA	NA	NA	Jacques Cavallier-Belletrud
California Rêverie	Van Cleef & Arpels	2014	NA	7.8	238	Floral, Fresh, Sweet, Citrus, Fruity	Neroli, Mandarin orange	Jasmine, Frangipani	Beeswax, Vanilla	Antoine Maisondieu
California Snow	What We Do Is Secret / A Lab on Fire	2017	NA	7.3	92	Floral, Fresh, Green, Earthy, Woody	Chamomile, Black sage, Tea, Sweetgrass	Hay, Rosebud, Jonquil, Cannabis	Cedar, Musk, Soil, Vetiver	Mackenzie Reilly, IFF (International Flavors & Fragrances)
Caligna	L'Artisan Parfumeur	2013	NA	7.1	175	Fresh, Woody, Green, Fruity, Floral	Fig, Clary sage, Mandarin orange leaf, Rosebud	Jasmine jam, Mastic, Violet	Ambrox, Oak wood, Pine needle	Dora Baghriche-Arnaud
Calvin Klein Man Calvin Klein 2007 Eau de Toilette	Calvin Klein	2007	Eau de Toilette	6.6	161	Woody, Spicy, Sweet, Fresh, Synthetic	Violet leaf, Mandarin orange, Bergamot, Rosemary	Laurel, Nutmeg, Frankincense, Mint	Amberwood, Gaiac wood, Cypress, Sandalwood	Harry Frémont, Jacques Cavallier-Belletrud, Ann Gottlieb Product developer
Calvin Klein Women Calvin Klein 2018 Eau de Parfum	Calvin Klein	2018	Eau de Parfum	6.3	135	Fresh, Floral, Synthetic, Woody, Sweet	Eucalyptus acorn	Orange blossom	Nootka cypress	Honorine Blanc, Annick Ménardo
Calypso Robert Piguet 1950 Eau de Parfum	Robert Piguet	1950	Eau de Parfum	7.8	158	Floral, Powdery, Leathery, Sweet, Spicy	Geranium, Mandarin orange	Rose, Orris butter, Rosa centifolia	Suede, Ambroxan, Patchouli	NA
Calyx	Clinique	2014	NA	7	62	Green, Fresh, Floral, Fruity, Citrus	Green leaves, Grapefruit	Freesia, Jasmine, Rose	Oakmoss, Iris, Sandalwood	NA
Camélia K	Ella K Parfums	2023	NA	8	91	Floral, Sweet, Fruity, Synthetic, Fresh	Blood orange, Dragon fruit, Ginger	Jasmine sambac, Orange blossom, Japanese camellia	Tonka bean, Patchouli, Vanilla, Vetiver	Sonia Constant
Camel	Zoologist	2017	NA	7.8	335	Spicy, Oriental, Animal, Resinous, Fruity	Dried fruits, Frankincense, Rose	Incense material, Myrrh, Amber, Cinnamon, Orange blossom, Cedar, Jasmine	Civet, Musk, Sandalwood, Vanilla, Oud, Tonka bean, Vetiver	Christian Carbonnel a.k.a. Chris Maurice
Camelia	Acqua di Parma	2019	NA	7.3	56	Floral, Citrus, Fresh, Spicy, Sweet	Calabrian bergamot, Mandarin orange, Pink pepper, Cardamom	Jasmine sambac, Clary sage, Camellia	Musk, Benzoin	NA
Camicia 113 Gianfranco Ferré 2015 Eau de Parfum	Gianfranco Ferré	2015	Eau de Parfum	6.8	51	Floral, Fresh, Powdery, Spicy, Fruity	Peony, Bergamot, Magnolia	Iris, Jasmine, Violet	Musk, Patchouli, Benzoin Siam	Nathalie Lorson, Firmenich
Campo Marzio 35	Essenzialmente Laura	1911	NA	7.6	278	Floral, Spicy, Chypre, Green, Sweet	Galbanum, Bergamot, Tarragon, Lemon, Drindle	Carnation, Orange blossom, Rose, Tuberose, Broom, Violet, Ylang-ylang, Beeswax, Clove, Jasmine, Lily of the valley	Musk, Oakmoss, Cedarwood, Civet, Iris, Tonka bean, Sandalwood	Robert Bienaimé
Candy Florale	Prada	2014	NA	6.5	196	Floral, Sweet, Fresh, Gourmand, Synthetic	Limoncello sorbet	Peony	Musk, Honey, Caramel, Benzoin	Daniela Andrier
Candy Gloss Prada 2017 Eau de Toilette	Prada	2017	Eau de Toilette	7.5	174	Fruity, Sweet, Floral, Synthetic, Creamy	Cherry, Blackcurrant	Peach, Orange blossom	Benzoin, Heliotrope, Musk	Daniela Andrier
Candy Kiss Prada 2016 Eau de Parfum	Prada	2016	Eau de Parfum	7.5	170	Sweet, Powdery, Floral, Creamy, Fruity	NA	NA	NA	Daniela Andrier
Candy L'Eau	Prada	2013	NA	7.1	183	Sweet, Gourmand, Powdery, Floral, Citrus	Citrus fruits	Sweet pea	Benzoin, Caramel, White musk	Daniela Andrier
Candy Love	Escada	2020	NA	7.2	91	Sweet, Fruity, Gourmand, Synthetic, Floral	Candied apple	Rosa centifolia	Vanilla cream	Amandine Clerc-Marie, Nicolas Bonneville
Candy Musk	Ganache Parfums	2007	NA	7.2	240	Sweet, Floral, Fresh, Aquatic, Fruity	NA	NA	NA	Quentin Bisch
Candy Night Prada 2019 Eau de Parfum	Prada	2019	Eau de Parfum	7.3	186	Gourmand, Sweet, Powdery, Creamy, Spicy	Iris, Bitter orange, Neroli	Tonka bean, Vanilla	Chocolate, Patchouli	NA
Candy Prada 2011 Eau de Parfum	Prada	2011	Eau de Parfum	7.2	891	Sweet, Gourmand, Powdery, Oriental, Synthetic	White musk	Benzoin Siam	Caramel	Daniela Andrier
Candy Rose	Montale	2012	NA	6.4	53	Floral, Fruity, Sweet, Fresh, Synthetic	Lychee, Blood orange, Red fruits	Patchouli, Rose, Lily of the valley	White musk, Vanilla	NA
Candy Sugar Pop	Prada	2018	NA	6.9	73	Sweet, Fruity, Powdery, Floral, Synthetic	NA	NA	NA	Daniela Andrier
Cannabis Blue	Fragrance Du Bois	2020	NA	7.1	62	Green, Woody, Spicy, Fresh, Smoky	Eucalyptus, Cardamom, Grapefruit, Sichuan pepper, Elemi resin	Sage, Cannabis, Nutmeg	Cedarwood, Oud, Patchouli, Gaiac wood	Christian Provenzano
Cannabis	Bois 1920	2019	NA	7.3	78	Green, Woody, Spicy, Fresh, Earthy	Cannabis	Cannabis, Patchouli	Cannabis, Blond woods	NA
Cannabis	Il Profvmo	2011	NA	6.4	85	Sweet, Spicy, Floral, Green, Powdery	NA	NA	NA	Silvana Casoli
Cannabis Salata	Bois 1920	2020	NA	7.2	56	Green, Aquatic, Spicy, Citrus, Fresh	Lemon, Coriander, Bergamot	Cardamom, Cannabis, Aquatic notes	Salty notes, Ambergris, Patchouli, Vetiver	Cristian Calabrò
Can't Stop Loving You	Kilian	2023	NA	7	117	Sweet, Floral, Smoky, Spicy, Oriental	Orange blossom, Paradisone®	Provençal honey absolute	Somalian frankincense, Oakmoss, Bourbon vanilla absolute, Labdanum	Alberto Morillas
Cantate Cantata Yves Rocher 1995 Eau de Toilette	Yves Rocher	1995	Eau de Toilette	6.4	72	Floral, Spicy, Sweet, Oriental, Woody	Jasmine, Rose, Iris	Spices, Cinnamon, Osmanthus	Vanilla, Cedar, Sandalwood, Tonka bean	NA
Canto	2 Note	2002	NA	7.2	115	Woody, Spicy, Powdery, Resinous, Sweet	NA	NA	NA	NA
Cap d'Antibes	Eight & Bob	2015	NA	7.2	113	Fresh, Woody, Green, Spicy, Aquatic	NA	NA	NA	NA
Cap Néroli	Nicolaï / Parfums de Nicolaï	2018	NA	7.5	75	Floral, Green, Fresh, Citrus, Spicy	Rosemary, Orange, Petitgrain, Mint, Mandarin orange	Jasmine absolute, Orange blossom absolute, Ylang-ylang, Neroli	Oakmoss, Musk	Patricia de Nicolaï
Cape Heartache	Imaginary Authors	2013	NA	7.2	296	Woody, Fruity, Resinous, Green, Sweet	NA	NA	NA	Josh Meyer
Cappadocia	Memo Paris	2023	NA	7.5	91	Spicy, Creamy, Sweet, Resinous, Woody	NA	NA	NA	Gaël Montero
Capri Forget Me Not Carthusia 2018 Eau de Parfum	Carthusia	2018	Eau de Parfum	7.5	167	Fresh, Green, Citrus, Floral, Fruity	Lemon, Lime, Mandarin orange, Orange	Fig, Eucalyptus, Mint, Buchu, Violet	Cyclamen, Davana, Hyacinth, Jasmine, Peach, Vanilla	Laura Bosetti Tonatto
Capriccio	Sospiro	2011	NA	7.8	141	Floral, Spicy, Woody, Sweet, Oriental	Lime, Neroli	White blossoms, Coumarin, Cinnamon, Red fruits	Patchouli, Cashmeran, Musk, Ambergris, Sandalwood, Vetiver, Oud	NA
Caprifoglio	Santa Maria Novella	2006	NA	6.4	63	Floral, Synthetic, Fresh, Sweet, Animal	NA	NA	NA	Antoine Maisondieu
Captain's Reserve	Black Ship Grooming Co.	1982	NA	7.6	154	Oriental, Spicy, Floral, Woody, Fruity	Peach, Apricot, Lemon, Raspberry, Bergamot, Dankness	Cinnamon, Carnation, Nutmeg, Bulgarian rose, Honey, Jasmine, Lily of the valley, Mimosa, Orchid, Ylang-ylang, Orris root	Cedar, Sandalwood, Styrax, Vanilla, Amber, Benzoin, Musk	Jean Guichard
Capua	Electimuss	2019	NA	6.5	56	Spicy, Smoky, Woody, Resinous, Oriental	Cypress, Elemi resin, Madagascan marigold, Sicilian bergamot	Nagarmotha, Cedar, Egyptian cumin	Cashmere wood, Amber, Cedar, Java vetiver	Christian Provenzano
