freq,unit,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,THS_PER,DE14	34.4 	34.6 	29.6 	30.5 	32.7 	33.3 	37.0 bu	33.0 bu
A,THS_PER,DE2	280.3 	278.8 	285.4 	279.3 	282.9 	278.4 	246.1 bp	272.4 bp
A,THS_PER,DE21	143.3 	143.1 	145.1 	143.0 	145.7 	136.9 	114.3 bp	133.7 bp
A,THS_PER,DE22	14.1 	13.5 	14.7 	14.3 	15.2 	17.3 	: bu	: bu
A,THS_PER,DE23	13.9 	15.8 	15.6 	18.1 	15.1 	17.8 	: bu	: bu
A,THS_PER,DE24	15.9 	16.4 	18.7 	14.7 	15.0 	15.8 	: bu	: bu
A,THS_PER,DE25	33.8 	34.2 	34.3 	31.2 	33.5 	35.1 	: bu	27.5 bu
A,THS_PER,DE26	23.3 	21.4 	21.8 	22.0 	19.5 	19.2 	: bu	: bu
A,THS_PER,DE27	36.1 	34.4 	35.2 	36.1 	38.8 	36.4 	41.8 bp	33.9 bu
A,THS_PER,DE3	173.0 	176.5 	176.0 	182.9 	192.3 	201.2 	180.6 bp	176.0 bp
A,THS_PER,DE30	173.0 	176.5 	176.0 	182.9 	192.3 	201.2 	180.6 bp	176.0 bp
A,THS_PER,DE4	32.6 	36.2 	36.7 	37.6 	40.1 	36.7 	36.2 bu	30.7 bu
A,THS_PER,DE40	32.6 	36.2 	36.7 	37.6 	40.1 	36.7 	36.2 bu	30.7 bu
A,THS_PER,DE5	15.1 	11.2 	13.0 	13.9 	14.6 	13.7 	: bu	: bu
A,THS_PER,DE50	15.1 	11.2 	13.0 	13.9 	14.6 	13.7 	: bu	: bu
A,THS_PER,DE6	73.2 	75.2 	74.3 	78.5 	76.3 	76.1 	72.5 bp	80.0 bp
A,THS_PER,DE60	73.2 	75.2 	74.3 	78.5 	76.3 	76.1 	72.5 bp	80.0 bp
A,THS_PER,DE7	122.8 	116.2 	122.9 	129.4 	124.7 	122.7 	109.6 bp	117.0 bp
A,THS_PER,DE71	88.9 	85.4 	85.1 	91.0 	91.4 	90.0 	81.3 bp	84.6 bp
A,THS_PER,DE72	17.7 	15.8 	15.7 	15.4 	12.3 	14.4 	: bu	: bu
A,THS_PER,DE73	16.2 	15.1 	22.1 	23.1 	21.0 	18.3 	: bu	: bu
A,THS_PER,DE8	20.9 	24.5 	21.5 	20.0 	20.2 	20.2 	: bu	: bu
A,THS_PER,DE80	20.9 	24.5 	21.5 	20.0 	20.2 	20.2 	: bu	: bu
A,THS_PER,DE9	122.7 	120.5 	118.5 	116.5 	110.4 	112.4 	109.1 bp	117.9 bp
A,THS_PER,DE91	24.5 	23.9 	24.2 	24.0 	21.9 	23.6 	: bu	: bu
A,THS_PER,DE92	39.7 	41.5 	39.4 	34.8 	35.8 	34.8 	32.2 bu	37.0 bu
A,THS_PER,DE93	25.2 	20.8 	24.0 	25.5 	23.1 	21.7 	25.4 bu	26.5 bu
A,THS_PER,DE94	33.2 	34.3 	30.9 	32.2 	29.5 	32.3 	29.9 bu	32.5 bu
A,THS_PER,DEA	311.3 	323.0 	314.6 	318.7 	311.3 	321.0 	306.8 bp	307.2 bp
A,THS_PER,DEA1	86.4 	88.1 	88.3 	89.1 	84.3 	88.6 	85.0 bp	88.1 bp
A,THS_PER,DEA2	99.8 	103.0 	105.0 	107.2 	103.4 	106.0 	104.7 bp	99.1 bp
A,THS_PER,DEA3	39.3 	42.1 	36.3 	34.2 	37.6 	41.7 	37.5 bu	37.5 bu
A,THS_PER,DEA4	38.4 	38.4 	36.1 	39.2 	39.0 	37.5 	32.4 bu	33.8 bu
A,THS_PER,DEA5	47.3 	51.5 	48.9 	49.1 	47.0 	47.3 	47.1 bp	48.8 bp
A,THS_PER,DEB	60.9 	57.7 	69.5 	67.8 	67.4 	70.1 	65.8 bp	68.6 bp
A,THS_PER,DEB1	19.7 	18.2 	22.6 	22.8 	21.7 	23.3 	: bu	: bu
A,THS_PER,DEB2	8.7 	7.0 	8.2 	8.5 	8.3 	9.5 	: bu	: bu
A,THS_PER,DEB3	32.5 	32.5 	38.7 	36.5 	37.4 	37.3 	38.9 bu	38.3 bu
A,THS_PER,DEC	12.8 	13.3 	15.6 	13.6 	15.6 	14.4 	: bu	: bu
A,THS_PER,DEC0	12.8 	13.3 	15.6 	13.6 	15.6 	14.4 	: bu	: bu
A,THS_PER,DED	73.9 	74.1 	74.9 	75.0 	78.3 	77.6 	69.2 bp	65.1 bp
A,THS_PER,DED2	29.2 	27.9 	32.3 	31.6 	31.2 	28.5 	26.7 bu	25.9 bu
A,THS_PER,DED4	20.7 	19.6 	16.5 	18.1 	18.8 	20.7 	: bu	: bu
A,THS_PER,DED5	24.0 	26.6 	26.1 	25.3 	28.3 	28.5 	: bu	: bu
A,THS_PER,DEE	27.0 	25.6 	24.1 	24.1 	24.8 	23.8 	: bu	: bu
A,THS_PER,DEE0	27.0 	25.6 	24.1 	24.1 	24.8 	23.8 	: bu	: bu
A,THS_PER,DEF	50.9 	50.9 	52.4 	50.2 	48.4 	49.8 	46.1 bp	43.6 bp
A,THS_PER,DEF0	50.9 	50.9 	52.4 	50.2 	48.4 	49.8 	46.1 bp	43.6 bp
A,THS_PER,DEG	32.2 	31.1 	29.5 	30.9 	31.2 	34.0 	33.3 bu	28.2 bu
A,THS_PER,DEG0	32.2 	31.1 	29.5 	30.9 	31.2 	34.0 	33.3 bu	28.2 bu
A,THS_PER,DK	128.5 	130.7 	128.7 b	128.8 b	124.1 	130.4 	129.8 	132.3 b
A,THS_PER,DK0	128.5 	130.7 	128.7 b	128.8 b	124.1 	130.4 	129.8 	132.3 b
A,THS_PER,DK01	63.8 	64.3 	61.7 b	58.4 b	58.7 	67.2 	66.6 	67.1 b
A,THS_PER,DK02	11.5 	10.7 	10.7 b	12.6 b	12.1 	12.1 	11.0 	11.3 b
A,THS_PER,DK03	17.4 	17.9 	18.0 b	18.1 b	18.3 	17.5 	17.4 	19.7 b
A,THS_PER,DK04	26.4 	29.2 	28.5 b	30.6 b	26.2 	25.0 	26.6 	25.2 b
A,THS_PER,DK05	9.4 	8.6 	9.8 b	9.0 b	8.7 	8.6 	8.2 	8.9 b
A,THS_PER,EE	28.8 	32.8 	33.4 	34.9 	35.7 	33.5 	33.3 	32.2 b
A,THS_PER,EE0	28.8 	32.8 	33.4 	34.9 	35.7 	33.5 	33.3 	32.2 b
A,THS_PER,EE00	28.8 	32.8 	33.4 	34.9 	35.7 	33.5 	33.3 	32.2 b
A,THS_PER,EL	118.6 	111.6 	125.9 	127.2 	130.7 	131.2 	125.2 	144.4 b
A,THS_PER,EL3	65.5 	59.7 	69.4 	69.9 	67.9 	71.3 	67.3 	84.9 b
A,THS_PER,EL30	65.5 	59.7 	69.4 	69.9 	67.9 	71.3 	67.3 	84.9 b
A,THS_PER,EL4	11.0 	9.9 	11.4 	9.8 	11.5 	10.7 	10.5 	10.5 b
A,THS_PER,EL41	1.9 u	1.4 u	1.8 u	1.9 u	1.4 u	1.8 u	2.1 u	1.8 bu
A,THS_PER,EL42	3.8 	2.2 u	2.3 u	2.4 u	2.9 u	2.5 u	3.0 u	3.6 b
A,THS_PER,EL43	5.3 	6.2 	7.3 	5.5 	7.3 	6.5 	5.4 	5.1 b
A,THS_PER,EL5	23.4 	23.5 	26.5 	28.7 	30.5 	31.0 	29.1 	28.1 b
A,THS_PER,EL51	3.4 u	3.0 u	3.3 u	3.6 	3.9 	3.8 	3.4 u	4.9 b
A,THS_PER,EL52	15.7 	16.6 	19.0 	20.4 	22.8 	22.2 	21.1 	20.1 b
A,THS_PER,EL53	1.9 u	1.4 u	1.7 u	1.6 u	: u	1.6 u	1.5 u	1.4 bu
A,THS_PER,EL54	2.3 u	2.5 u	2.4 u	3.1 u	2.8 u	3.5 	3.2 u	1.7 bu
A,THS_PER,EL6	18.8 	18.5 	18.7 	18.7 	20.7 	18.1 	18.3 	20.9 b
A,THS_PER,EL61	5.5 	5.2 	5.7 	6.6 	6.7 	5.5 	5.4 	6.4 b
A,THS_PER,EL62	2.4 u	1.5 u	1.7 u	1.4 u	: u	1.5 u	1.4 u	: bu
A,THS_PER,EL63	3.8 	4.0 	4.7 	4.3 	4.9 	3.1 u	3.6 	4.4 b
A,THS_PER,EL64	3.5 u	4.1 	3.1 u	2.9 u	3.0 u	2.3 u	2.9 u	3.4 bu
A,THS_PER,EL65	3.6 	3.7 	3.6 	3.5 	4.9 	5.6 	4.9 	5.5 b
A,THS_PER,ES	599.0 	627.4 	658.7 	693.3 	701.1 	726.4 	678.2 	728.9 bd
A,THS_PER,ES1	50.4 	50.4 	52.5 	55.7 	55.6 	52.6 	51.1 	49.4 bd
A,THS_PER,ES2	56.8 	62.9 	67.3 	60.7 	60.1 	63.7 	61.3 	73.9 bd
A,THS_PER,ES3	139.3 	152.8 	153.9 	156.9 	158.0 	162.7 	153.0 	159.0 bd
A,THS_PER,ES4	48.1 	48.2 	54.4 	52.0 	55.2 	53.2 	49.6 	50.8 bd
A,THS_PER,ES5	199.1 	201.4 	211.6 	236.0 	233.7 	245.0 	243.2 	269.5 bd
A,THS_PER,ES6	88.2 	89.0 	97.9 	108.0 	114.1 	117.3 	98.9 	101.4 bd
A,THS_PER,ES7	17.0 	22.8 	21.0 	24.0 	24.4 	31.9 	21.2 	25.0 bd
A,THS_PER,EU27_2020	6847.8 	6889.7 	7023.6 	7204.2 	7292.1 	7381.7 	7160.8 	7367.4 b
A,THS_PER,FI	118.5 	123.3 	116.8 	115.5 	125.7 	131.5 	127.9 	119.2 b
A,THS_PER,FI1	118.0 	122.7 	116.3 	114.8 	125.2 	131.2 	127.3 	118.4 b
A,THS_PER,FI19	24.0 	24.9 	24.9 	25.0 	26.3 	26.7 	27.6 	26.3 b
A,THS_PER,FI1B	60.4 	59.9 	54.5 	51.3 	57.8 	62.4 	59.4 	56.7 b
A,THS_PER,FI1C	18.3 	21.8 	19.1 	19.4 	21.1 	23.5 	21.6 	17.6 b
A,THS_PER,FI1D	15.3 	16.2 	17.7 	19.2 	20.0 	18.5 	18.7 	17.9 b
A,THS_PER,FI2	: u	: u	: u	: u	: u	: u	: u	: bu
A,THS_PER,FI20	: u	: u	: u	: u	: u	: u	: u	: bu
A,THS_PER,FR	884.8 	851.6 	890.7 	935.8 	948.9 	960.5 	973.2 	1087.7 bd
A,THS_PER,FR1	319.1 	298.2 	308.7 	342.9 	374.0 	356.3 	367.2 	391.3 bd
A,THS_PER,FR10	319.1 	298.2 	308.7 	342.9 	374.0 	356.3 	367.2 	391.3 bd
A,THS_PER,FRB	26.1 	29.4 	27.2 	18.6 	23.0 	24.8 	29.7 	24.3 bd
A,THS_PER,FRB0	26.1 	29.4 	27.2 	18.6 	23.0 	24.8 	29.7 	24.3 bd
A,THS_PER,FRC	27.5 	24.8 	24.0 	28.3 	26.5 	32.2 	33.5 	29.6 bd
A,THS_PER,FRC1	17.1 	16.6 	12.9 	16.6 	13.0 	17.2 	18.6 	16.8 bd
A,THS_PER,FRC2	10.4 	8.1 u	11.0 	11.7 	13.5 	14.9 	14.9 	12.8 bd
A,THS_PER,FRD	27.9 	24.8 	24.2 	29.1 	29.7 	30.5 	32.3 	36.8 bd
A,THS_PER,FRD1	15.3 	15.4 	12.1 	13.6 	13.3 	17.0 	14.2 	17.3 bd
A,THS_PER,FRD2	12.7 	9.4 u	12.1 	15.6 	16.4 	13.5 	18.1 	19.6 bd
A,THS_PER,FRE	41.6 	52.2 	46.7 	45.7 	41.4 	49.3 	42.2 	51.7 bd
A,THS_PER,FRE1	31.0 	35.6 	32.1 	29.4 	25.1 	30.5 	28.5 	27.9 bd
A,THS_PER,FRE2	10.6 	16.6 	14.7 	16.3 	16.3 	18.8 	13.7 	23.9 bd
A,THS_PER,FRF	69.9 	54.4 	60.3 	50.7 	53.4 	62.1 	45.9 	56.1 bd
A,THS_PER,FRF1	31.3 	22.6 	24.4 	25.2 	25.2 	23.0 	18.0 	28.6 bd
A,THS_PER,FRF2	11.4 	9.9 u	10.4 	9.2 u	8.9 u	9.3 u	10.4 	10.1 bd
A,THS_PER,FRF3	27.2 	21.9 	25.6 	16.3 	19.3 	29.7 	17.4 	17.4 bd
A,THS_PER,FRG	35.5 	37.0 	45.6 	54.1 	44.6 	41.2 	40.0 	50.7 bd
A,THS_PER,FRG0	35.5 	37.0 	45.6 	54.1 	44.6 	41.2 	40.0 	50.7 bd
A,THS_PER,FRH	42.4 	27.1 	29.7 	35.9 	39.1 	40.3 	43.8 	37.5 bd
A,THS_PER,FRH0	42.4 	27.1 	29.7 	35.9 	39.1 	40.3 	43.8 	37.5 bd
A,THS_PER,FRI	62.3 	64.7 	66.7 	66.3 	66.8 	78.5 	87.4 	97.3 bd
A,THS_PER,FRI1	36.2 	35.5 	40.1 	45.2 	45.5 	51.7 	56.9 	63.7 bd
A,THS_PER,FRI2	8.3 u	8.7 u	5.1 u	7.0 u	7.7 u	6.8 u	7.0 u	10.5 bd
A,THS_PER,FRI3	17.9 	20.5 	21.4 	14.1 	13.6 	20.0 	23.5 	23.1 bd
A,THS_PER,FRJ	59.0 	63.2 	65.5 	71.3 	72.9 	71.4 	72.9 	82.9 bd
A,THS_PER,FRJ1	27.7 	25.1 	27.1 	32.5 	27.4 	32.0 	39.3 	44.8 bd
A,THS_PER,FRJ2	31.4 	38.1 	38.3 	38.8 	45.5 	39.4 	33.6 	38.1 bd
A,THS_PER,FRK	103.1 	99.0 	109.6 	102.8 	102.6 	98.0 	94.5 	131.0 bd
A,THS_PER,FRK1	12.5 	17.7 	26.8 	14.9 	11.6 	15.4 	17.0 	14.7 bd
A,THS_PER,FRK2	90.5 	81.2 	82.8 	87.9 	91.0 	82.6 	77.6 	116.2 bd
A,THS_PER,FRL	53.5 	59.4 	66.9 	72.7 	57.8 	61.4 	68.6 	77.9 bd
A,THS_PER,FRL0	53.5 	59.4 	66.9 	72.7 	57.8 	61.4 	68.6 	77.9 bd
A,THS_PER,FRM	2.9 u	3.6 u	1.6 u	2.4 u	: u	: u	: u	5.7 bu
A,THS_PER,FRY	13.9 	13.8 	14.0 	14.9 	14.0 	13.1 	13.2 	14.9 bd
A,THS_PER,HR	59.2 	53.7 	48.7 	57.5 	54.2 	60.4 	64.2 	55.9 b
A,THS_PER,HR0	59.2 	53.7 	48.7 	57.5 	54.2 	60.4 	64.2 	55.9 b
A,THS_PER,HR02	: 	: 	5.5 u	4.6 u	6.5 u	8.3 u	11.4 	8.7 bu
A,THS_PER,HR03	14.0 	14.3 	14.2 	18.7 	14.3 	17.2 	20.3 	17.5 b
A,THS_PER,HR04	45.3 	39.4 	: 	: 	: 	: 	: 	: 
A,THS_PER,HR05	: 	: 	21.5 	25.0 	24.2 	26.3 	23.1 	20.4 b
A,THS_PER,HR06	: 	: 	7.4 u	9.2 u	9.1 u	8.7 u	9.5 u	9.3 bu
A,THS_PER,HU	149.9 	155.5 	157.0 	147.1 	150.0 	164.0 	174.7 	166.4 b
A,THS_PER,HU1	77.9 	85.7 	87.1 	79.4 	86.6 	95.0 	98.1 	91.8 b
A,THS_PER,HU11	54.9 	68.4 	67.4 	61.4 	65.4 	69.6 	73.2 	67.9 b
A,THS_PER,HU12	22.9 	17.3 	19.8 	18.1 	21.2 	25.4 	24.9 	23.9 b
A,THS_PER,HU2	34.6 	32.1 	31.1 	29.4 	29.3 	32.0 	34.6 	35.0 b
A,THS_PER,HU21	12.2 	10.5 	10.4 	10.4 	12.3 	11.4 	13.0 	12.8 b
A,THS_PER,HU22	11.2 	9.1 	11.2 	11.7 	9.6 	11.1 	13.9 	14.3 b
A,THS_PER,HU23	11.3 	12.5 	9.6 	7.2 	7.4 	9.6 	7.6 	7.9 b
A,THS_PER,HU3	37.5 	37.7 	38.8 	38.3 	34.1 	37.0 	42.0 	39.6 b
A,THS_PER,HU31	10.5 	10.2 	10.2 	12.1 	8.8 	8.5 	11.2 	11.7 b
A,THS_PER,HU32	14.0 	12.1 	13.2 	12.6 	12.8 	13.7 	15.0 	13.1 b
A,THS_PER,HU33	13.0 	15.4 	15.4 	13.6 	12.4 	14.8 	15.8 	14.8 b
A,THS_PER,IE	78.9 	77.9 	82.5 	79.2 b	79.4 	77.0 	74.9 	74.2 b
A,THS_PER,IE0	78.9 	77.9 	82.5 	79.2 b	79.4 	77.0 	74.9 	74.2 b
A,THS_PER,IE04	8.7 	9.6 	9.7 	9.2 b	10.1 	9.8 	9.7 	9.5 b
A,THS_PER,IE05	19.4 	20.6 	20.2 	20.3 b	18.2 	17.4 	18.0 	19.3 b
A,THS_PER,IE06	50.8 	47.6 	52.6 	49.7 b	51.2 	49.8 	47.2 	45.4 b
A,THS_PER,IS	10.8 	11.6 	12.4 	11.4 	11.2 	11.3 	11.2 b	11.5 b
A,THS_PER,IS0	10.8 	11.6 	12.4 	11.4 	11.2 	11.3 	11.2 b	11.5 b
A,THS_PER,IS00	10.8 	11.6 	12.4 	11.4 	11.2 	11.3 	11.2 b	11.5 b
A,THS_PER,IT	801.9 	819.3 	804.9 	825.5 b	830.7 	834.5 	791.1 	771.3 b
A,THS_PER,ITC	274.5 	281.7 	270.7 	276.4 b	287.1 	291.4 	259.3 	253.7 b
A,THS_PER,ITC1	61.6 	66.0 	59.9 	72.8 b	77.5 	73.9 	58.1 	61.7 b
A,THS_PER,ITC2	2.2 u	1.8 u	1.7 u	1.9 bu	1.8 u	1.9 u	1.7 u	1.5 bu
A,THS_PER,ITC3	15.2 	16.8 	20.4 	19.4 b	17.2 	20.6 	18.2 	15.8 b
A,THS_PER,ITC4	195.5 	197.1 	188.6 	182.3 b	190.6 	194.9 	181.3 	174.7 b
A,THS_PER,ITF	94.7 	95.8 	99.5 	105.2 b	110.2 	102.2 	95.8 	90.4 b
A,THS_PER,ITF1	12.1 	12.1 	10.2 	12.8 b	14.6 	14.4 	13.9 	12.1 b
A,THS_PER,ITF2	1.5 u	2.7 	2.6 	2.7 b	3.7 	3.0 	2.2 u	2.2 bu
A,THS_PER,ITF3	37.1 	36.6 	43.8 	45.6 b	44.6 	38.8 	39.8 	41.3 b
A,THS_PER,ITF4	27.4 	26.0 	26.5 	27.4 b	28.6 	28.6 	26.9 	21.3 b
A,THS_PER,ITF5	4.5 	5.3 	4.7 	4.3 b	4.7 	4.6 	6.0 	5.4 b
A,THS_PER,ITF6	12.0 	13.3 	11.6 	12.5 b	14.1 	12.7 	7.0 	8.1 b
A,THS_PER,ITG	45.9 	47.1 	43.4 	47.1 b	45.3 	44.0 	45.5 	46.1 b
A,THS_PER,ITG1	31.7 	31.9 	29.1 	33.0 b	32.2 	30.8 	34.5 	33.1 b
A,THS_PER,ITG2	14.2 	15.2 	14.3 	14.1 b	13.1 	13.2 	11.0 	13.0 b
A,THS_PER,ITH	181.3 	187.4 	189.0 	175.3 b	179.2 	186.2 	171.9 	176.0 b
A,THS_PER,ITH1	9.8 	9.5 	8.7 	7.3 b	7.6 	7.1 	7.6 	7.9 b
A,THS_PER,ITH2	8.7 	8.4 	9.0 	10.4 b	10.1 	11.1 	11.4 	10.1 b
A,THS_PER,ITH3	68.3 	71.8 	78.2 	74.8 b	73.7 	81.9 	74.7 	80.8 b
A,THS_PER,ITH4	17.4 	15.5 	15.0 	14.4 b	15.7 	16.8 	14.1 	17.0 b
A,THS_PER,ITH5	77.1 	82.2 	78.1 	68.4 b	72.1 	69.2 	64.0 	60.3 b
A,THS_PER,ITI	205.5 	207.2 	202.4 	221.4 b	208.9 	210.8 	218.7 	205.1 b
A,THS_PER,ITI1	62.8 	63.2 	64.0 	71.9 b	63.7 	64.3 	67.4 	64.9 b
A,THS_PER,ITI2	11.5 	11.6 	12.4 	15.3 b	13.4 	11.0 	12.0 	12.5 b
A,THS_PER,ITI3	17.5 	21.9 	22.2 	23.6 b	20.5 	22.9 	26.1 	21.8 b
A,THS_PER,ITI4	113.7 	110.5 	103.7 	110.7 b	111.3 	112.6 	113.1 	106.0 b
A,THS_PER,LT	53.1 	53.3 	48.9 	49.8 	55.4 	53.7 	53.9 	54.2 b
A,THS_PER,LT0	53.1 	53.3 	48.9 	49.8 	55.4 	53.7 	53.9 	54.2 b
A,THS_PER,LT01	22.9 	22.9 	20.8 	20.2 	24.8 	24.4 	21.7 	24.0 b
A,THS_PER,LT02	30.3 	30.3 	28.1 	29.6 	30.6 	29.3 	32.3 	30.2 b
A,THS_PER,LU	14.7 	12.9 b	13.2 	12.4 	14.9 	14.6 	12.4 	13.1 b
A,THS_PER,LU0	14.7 	12.9 b	13.2 	12.4 	14.9 	14.6 	12.4 	13.1 b
A,THS_PER,LU00	14.7 	12.9 b	13.2 	12.4 	14.9 	14.6 	12.4 	13.1 b
A,THS_PER,LV	37.1 	38.2 	41.4 	37.0 	33.3 	32.9 	34.4 	36.3 b
A,THS_PER,LV0	37.1 	38.2 	41.4 	37.0 	33.3 	32.9 	34.4 	36.3 b
A,THS_PER,LV00	37.1 	38.2 	41.4 	37.0 	33.3 	32.9 	34.4 	36.3 b
A,THS_PER,ME	8.8 	7.3 	7.3 	8.1 	9.5 	8.1 	7.8 	: 
A,THS_PER,ME0	8.8 	7.3 	7.3 	8.1 	9.5 	8.1 	7.8 	: 
A,THS_PER,ME00	8.8 	7.3 	7.3 	8.1 	9.5 	8.1 	7.8 	: 
A,THS_PER,MK	22.0 	21.1 	22.9 	23.9 	23.2 	25.4 	26.2 	: 
A,THS_PER,MK0	22.0 	21.1 	22.9 	23.9 	23.2 	25.4 	26.2 	: 
A,THS_PER,MK00	22.0 	21.1 	22.9 	23.9 	23.2 	25.4 	26.2 	: 
A,THS_PER,MT	8.5 	9.0 	9.0 	10.6 	12.4 	13.3 	12.7 	11.9 b
A,THS_PER,MT0	8.5 	9.0 	9.0 	10.6 	12.4 	13.3 	12.7 	11.9 b
A,THS_PER,MT00	8.5 	9.0 	9.0 	10.6 	12.4 	13.3 	12.7 	11.9 b
A,THS_PER,NL	380.2 	381.7 	377.9 	390.1 	408.3 	429.8 	421.3 	471.9 b
A,THS_PER,NL1	28.4 	28.8 	26.0 	25.6 	29.2 	28.2 	30.5 	30.3 b
A,THS_PER,NL11	12.8 	12.4 	10.9 	9.3 	13.4 	11.7 	13.0 	12.9 b
A,THS_PER,NL12	8.9 	9.2 	9.0 	10.3 	10.0 	10.7 	11.3 	9.7 b
A,THS_PER,NL13	6.7 	7.2 	6.1 	6.0 	5.9 	5.8 	6.2 	7.7 b
A,THS_PER,NL2	60.2 	64.9 	59.1 	64.3 	67.6 	72.4 	72.7 	88.5 b
A,THS_PER,NL21	18.4 	18.0 	17.9 	18.1 	19.7 	22.4 	21.7 	21.3 b
A,THS_PER,NL22	34.9 	40.0 	35.4 	39.0 	39.8 	40.2 	42.9 	58.6 b
A,THS_PER,NL23	6.9 	7.0 	5.7 	7.3 	8.1 	9.9 	8.1 	8.6 b
A,THS_PER,NL3	230.2 	227.3 	229.5 	234.2 	243.9 	255.9 	249.2 	279.2 b
A,THS_PER,NL31	39.9 	36.7 	39.6 	38.6 	41.6 	42.3 	40.2 	42.0 b
A,THS_PER,NL32	106.7 	106.2 	109.1 	108.2 	107.6 	121.1 	116.1 	133.5 b
A,THS_PER,NL33	79.4 	79.8 	76.1 	81.3 	86.9 	86.7 	87.5 	94.8 b
A,THS_PER,NL34	4.2 	4.6 	4.8 	6.1 	7.8 	5.9 	5.4 	8.9 b
A,THS_PER,NL4	61.4 	60.6 	63.3 	66.0 	67.5 	73.3 	68.9 	74.0 b
A,THS_PER,NL41	46.9 	47.5 	47.5 	49.9 	49.2 	54.1 	51.0 	55.2 b
A,THS_PER,NL42	14.5 	13.2 	15.7 	16.0 	18.3 	19.2 	17.9 	18.8 b
A,THS_PER,NO	105.5 	102.5 	102.5 	102.2 	101.4 	104.9 	106.4 	112.4 b
A,THS_PER,NO0	105.5 	102.5 	102.5 	102.2 	101.4 	104.9 	106.4 	112.4 b
A,THS_PER,NO01	50.8 	48.1 	: 	: 	: 	: 	: 	: 
A,THS_PER,NO02	4.8 	3.3 	2.9 	: u	: u	6.1 u	5.7 u	6.3 bu
A,THS_PER,NO03	13.8 	13.2 	: 	: 	: 	: 	: 	: 
A,THS_PER,NO04	11.8 	10.0 	: 	: 	: 	: 	: 	: 
A,THS_PER,NO05	10.5 	12.9 	: 	: 	: 	: 	: 	: 
A,THS_PER,NO06	7.9 	8.7 	7.4 	6.7 u	5.5 u	6.6 u	8.9 u	9.0 bu
A,THS_PER,NO07	6.1 	6.3 	7.0 	7.0 u	7.2 u	5.8 u	6.3 u	7.2 bu
A,THS_PER,NO08	: 	: 	55.4 	52.6 	54.5 	57.1 	53.6 	55.0 b
A,THS_PER,NO09	: 	: 	9.7 	11.1 	9.6 u	9.5 u	11.5 	14.3 b
A,THS_PER,NO0A	: 	: 	20.1 	20.6 	20.4 	20.0 	20.5 	20.6 b
A,THS_PER,PL	508.2 	529.9 	543.7 	568.4 	585.8 	548.1 	538.1 	541.6 b
A,THS_PER,PL2	95.2 	104.1 	115.2 	115.6 	124.8 	106.8 	102.4 	119.8 b
A,THS_PER,PL4	52.5 	57.0 	70.9 	74.0 	83.0 	79.3 	77.2 	78.2 b
A,THS_PER,PL5	43.7 	46.0 	46.2 	53.3 	49.3 	46.9 	48.1 	56.3 b
A,THS_PER,PL6	67.3 	75.0 	77.6 	77.2 	79.5 	74.7 	69.3 	66.2 b
A,THS_PER,PL7	55.2 	55.6 	42.8 	47.2 	50.4 	46.6 	46.7 	40.5 b
A,THS_PER,PL8	51.6 	47.5 	55.8 	58.9 	56.0 	54.6 	56.4 	54.6 b
A,THS_PER,PL9	142.7 	144.7 	135.2 	142.2 	142.8 	139.3 	138.0 	126.0 b
A,THS_PER,PT	142.9 	148.3 	146.2 	150.2 	164.3 	169.8 	175.1 	187.7 b
A,THS_PER,PT1	136.7 	142.2 	140.8 	144.6 	158.5 	163.9 	168.4 	181.7 b
A,THS_PER,PT11	44.3 	43.0 	42.9 	47.5 	54.9 	50.9 	53.2 	47.5 b
A,THS_PER,PT15	: u	: u	: u	4.9 	4.8 	6.1 	6.4 	6.9 b
A,THS_PER,PT16	25.2 	24.2 	23.1 	21.3 	27.2 	29.0 	32.2 	35.6 b
A,THS_PER,PT17	57.2 	65.9 	65.7 	65.0 	66.5 	71.8 	71.6 	83.9 b
A,THS_PER,PT18	6.4 	5.1 	4.6 	5.9 	5.1 	6.1 	5.1 	7.8 b
A,THS_PER,PT2	: u	: u	: u	: u	: u	: u	: u	: bu
A,THS_PER,PT20	: u	: u	: u	: u	: u	: u	: u	: bu
A,THS_PER,PT3	: u	: u	: u	: u	: u	: u	: u	: bu
A,THS_PER,PT30	: u	: u	: u	: u	: u	: u	: u	: bu
A,THS_PER,RO	130.5 	126.1 	133.7 	141.1 	141.1 	135.7 	120.4 	111.2 b
A,THS_PER,RO1	38.5 	43.8 	48.9 	49.0 	42.8 	33.9 	30.0 	32.5 b
A,THS_PER,RO11	18.9 	19.9 	21.5 	20.6 	16.3 	11.6 	11.1 u	14.9 b
A,THS_PER,RO12	19.6 	23.9 	27.5 	28.4 	26.5 	22.3 	18.9 	17.6 b
A,THS_PER,RO2	21.4 	20.8 	19.7 	21.8 	20.6 	21.9 	19.9 	15.1 b
A,THS_PER,RO21	12.8 	12.4 	10.9 u	12.1 	12.4 	15.3 	13.4 	9.6 bu
A,THS_PER,RO22	8.6 u	8.4 u	8.8 u	9.8 u	8.2 u	6.6 u	6.5 u	: bu
A,THS_PER,RO3	59.1 	44.3 	49.6 	55.1 	62.0 	63.6 	53.3 	47.5 b
A,THS_PER,RO31	12.0 	10.9 u	12.0 	11.7 	10.8 u	11.9 	10.2 u	: bu
A,THS_PER,RO32	47.1 	33.3 	37.6 	43.4 	51.2 	51.7 	43.2 	41.1 b
