freq,unit,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,PC_EMP,DK04	4.4 	4.8 	4.6 b	4.9 b	4.0 	3.8 	4.1 	3.8 b
A,PC_EMP,DK05	3.4 	3.1 	3.5 b	3.3 b	3.1 	3.1 	3.0 	3.1 b
A,PC_EMP,EE	4.6 	5.2 	5.2 	5.4 	5.4 	5.1 	5.1 	4.9 b
A,PC_EMP,EE0	4.6 	5.2 	5.2 	5.4 	5.4 	5.1 	5.1 	4.9 b
A,PC_EMP,EE00	4.6 	5.2 	5.2 	5.4 	5.4 	5.1 	5.1 	4.9 b
A,PC_EMP,EL	3.4 	3.1 	3.4 	3.4 	3.4 	3.4 	3.2 	3.7 b
A,PC_EMP,EL3	4.9 	4.5 	5.1 	5.1 	4.9 	4.9 	4.6 	5.6 b
A,PC_EMP,EL30	4.9 	4.5 	5.1 	5.1 	4.9 	4.9 	4.6 	5.6 b
A,PC_EMP,EL4	2.8 	2.4 	2.7 	2.3 	2.6 	2.3 	2.5 	2.5 b
A,PC_EMP,EL41	3.1 u	2.2 u	2.7 u	2.8 u	1.9 u	2.4 u	2.9 u	2.5 bu
A,PC_EMP,EL42	3.0 	1.7 u	1.8 u	1.8 u	2.2 u	1.8 u	2.6 u	3.1 b
A,PC_EMP,EL43	2.5 	3.0 	3.3 	2.4 	3.0 	2.6 	2.3 	2.2 b
A,PC_EMP,EL5	2.5 	2.4 	2.6 	2.8 	2.9 	2.9 	2.8 	2.7 b
A,PC_EMP,EL51	1.8 u	1.5 u	1.7 u	1.7 	1.8 	1.8 	1.7 u	2.4 b
A,PC_EMP,EL52	2.8 	2.8 	3.1 	3.3 	3.6 	3.5 	3.3 	3.1 b
A,PC_EMP,EL53	2.3 u	1.7 u	2.1 u	1.9 u	: u	1.8 u	1.7 u	1.6 bu
A,PC_EMP,EL54	2.2 u	2.4 u	2.3 u	3.0 u	2.5 u	3.1 	2.9 u	1.6 bu
A,PC_EMP,EL6	2.2 	2.1 	2.1 	2.0 	2.2 	1.9 	1.9 	2.2 b
A,PC_EMP,EL61	2.4 	2.3 	2.4 	2.6 	2.6 	2.2 	2.1 	2.5 b
