Reference area,TIME_PERIOD,OBS_VALUE,UNIT_MULT
Lithuania,2013,3963.109171,3
Luxembourg,2013,680.0336251,3
Mexico,2013,126299.2113,3
Netherlands,2013,18323.48381,3
New Zealand,2013,42708.30032,3
Norway,2013,4622.873302,3
Poland,2013,32480.99497,3
Portugal,2013,6755.623868,3
Slovak Republic,2013,2322.081158,3
Slovenia,2013,1655.470965,3
Spain,2013,31050.1001,3
Sweden,2013,6333.421798,3
Switzerland,2013,6307.404201,3
Türkiye,2013,59359.78415,3
United Kingdom,2013,42831.91075,3
United States,2013,611154.2232,3
Australia,2012,82582.18012,3
Austria,2012,7583.911424,3
Belgium,2012,9201.689703,3
Canada,2012,52088.65427,3
Chile,2012,12589.5,3
Colombia,2012,47561.76686,3
Costa Rica,2012,3098.96,3
Czechia,2012,7194.578306,3
Denmark,2012,12936.28293,3
Estonia,2012,1408.02769,3
Finland,2012,6225.142442,3
France,2012,75170.49472,3
Germany,2012,60814.25443,3
Greece,2012,8839.477553,3
Hungary,2012,5755.172604,3
Iceland,2012,738.4850327,3
Ireland,2012,18108.06093,3
Israel,2012,2132.706312,3
Italy,2012,33776.29559,3
Japan,2012,34150.15211,3
Korea,2012,24053.64761,3
Latvia,2012,1962.721052,3
Lithuania,2012,3990.466912,3
Luxembourg,2012,667.1351014,3
Mexico,2012,120675.6073,3
Netherlands,2012,17849.31216,3
New Zealand,2012,42746.91853,3
Norway,2012,4578.444626,3
Poland,2012,31798.31397,3
Portugal,2012,6793.832001,3
Slovak Republic,2012,2205.691615,3
Slovenia,2012,1671.268681,3
Spain,2012,31293.44958,3
Sweden,2012,6265.024393,3
Switzerland,2012,6421.741002,3
Türkiye,2012,56257.7966,3
United Kingdom,2012,43107.47387,3
United States,2012,574746.8741,3
Australia,2018,82236.72865,3
Austria,2018,7683.127515,3
Belgium,2018,9010.276609,3
Canada,2018,54146.24867,3
Chile,2018,11651.84,3
Colombia,2018,55523.38966,3
Costa Rica,2018,3479,3
Czechia,2018,6825.384386,3
Denmark,2018,12971.0769,3
Estonia,2018,1479.24732,3
Finland,2018,6404.341692,3
France,2018,73748.91795,3
Germany,2018,60501.88414,3
Greece,2018,8121.03862,3
Hungary,2018,6912.196309,3
Iceland,2018,741.5494359,3
Ireland,2018,20731.90162,3
Israel,2018,2364.491658,3
Italy,2018,32747.65181,3
Japan,2018,33141.31547,3
Korea,2018,23489.0269,3
Latvia,2018,2096.411737,3
Lithuania,2018,3961.776546,3
Luxembourg,2018,731.9597285,3
Mexico,2018,133784.7464,3
Netherlands,2018,18807.7167,3
New Zealand,2018,42747.46202,3
Norway,2018,4809.048377,3
Poland,2018,33825.22566,3
Portugal,2018,7150.367849,3
Slovak Republic,2018,2194.584485,3
Slovenia,2018,1708.421474,3
Spain,2018,33625.88882,3
Sweden,2018,6325.586245,3
Switzerland,2018,6218.021643,3
Türkiye,2018,68910.04941,3
United Kingdom,2018,43271.98014,3
United States,2018,642407.3271,3
Australia,2019,75951.24394,3
Austria,2019,7579.147019,3
Belgium,2019,9077.224869,3
Canada,2019,54286.73818,3
Chile,2019,11333.74,3
Colombia,2019,57029.59667,3
Costa Rica,2019,3502,3
Czechia,2019,7068.95606,3
Denmark,2019,12805.05833,3
Estonia,2019,1560.594085,3
Finland,2019,6398.224808,3
France,2019,72020.71887,3
Germany,2019,59369.90159,3
Greece,2019,8100.529375,3
Hungary,2019,6901.298927,3
Iceland,2019,725.6829427,3
Ireland,2019,20603.57917,3
Israel,2019,2393.141676,3
Italy,2019,32562.61059,3
Japan,2019,33118.01908,3
Korea,2019,23263.86176,3
Latvia,2019,2198.356846,3
Lithuania,2019,3969.887425,3
Luxembourg,2019,713.6188189,3
Mexico,2019,133926.7963,3
Netherlands,2019,18513.19633,3
New Zealand,2019,42956.78465,3
Norway,2019,4758.610034,3
Poland,2019,32829.63009,3
Portugal,2019,7217.999613,3
Slovak Republic,2019,2227.294514,3
Slovenia,2019,1723.607446,3
Spain,2019,33682.93004,3
Sweden,2019,6346.94768,3
Switzerland,2019,6119.469812,3
Türkiye,2019,71516.93774,3
United Kingdom,2019,43548.03447,3
United States,2019,620058.2043,3
Australia,2021,78759.44723,3
Austria,2021,7606.927714,3
Belgium,2021,8934.922966,3
Canada,2021,55109.17055,3
Colombia,2021,57957.84894,3
Costa Rica,2021,3520.1,3
Czechia,2021,7605.343432,3
Denmark,2021,12643.53498,3
Estonia,2021,1568.2577,3
Finland,2021,6376.279359,3
France,2021,69704.81821,3
Germany,2021,56517.33645,3
Greece,2021,8356.221368,3
Hungary,2021,7120.204992,3
Iceland,2021,726.3594195,3
Ireland,2021,21280.68069,3
Israel,2021,2388.91264,3
Italy,2021,33099.03961,3
Japan,2021,33200.66295,3
Korea,2021,23076.99979,3
Latvia,2021,2252.956006,3
Lithuania,2021,4082.847345,3
Luxembourg,2021,721.8840104,3
Mexico,2021,135350.7526,3
Netherlands,2021,18030.85779,3
New Zealand,2021,42715.61461,3
Norway,2021,4825.541326,3
Poland,2021,34150.64486,3
Portugal,2021,7266.53965,3
Slovak Republic,2021,2085.205352,3
Slovenia,2021,1727.928014,3
Spain,2021,34570.3901,3
Sweden,2021,6328.55064,3
Switzerland,2021,6146.620227,3
Türkiye,2021,75376.38779,3
United Kingdom,2021,42853.77789,3
United States,2021,604782.764,3
Australia,2022,79633.67429,3
Austria,2022,7573.435972,3
Belgium,2022,8641.023548,3
Canada,2022,55911.82196,3
Czechia,2022,7241.553247,3
Denmark,2022,12295.90317,3
Estonia,2022,1582.999798,3
Finland,2022,6068.424126,3
France,2022,66856.63887,3
Germany,2022,55654.43292,3
Greece,2022,7976.394179,3
Hungary,2022,6186.381472,3
Iceland,2022,711.971579,3
Ireland,2022,20875.10551,3
Israel,2022,2419.33143,3
Italy,2022,30990.78404,3
Japan,2022,32646.62158,3
Korea,2022,22953.4077,3
Latvia,2022,2253.153707,3
Lithuania,2022,3794.064795,3
Luxembourg,2022,685.2189104,3
Mexico,2022,137619.0286,3
Netherlands,2022,18012.23528,3
New Zealand,2022,41521.43024,3
Norway,2022,4716.147599,3
Poland,2022,33347.6081,3
Portugal,2022,6994.605617,3
Slovak Republic,2022,1965.969309,3
Slovenia,2022,1660.292991,3
Spain,2022,33604.66675,3
Sweden,2022,6412.046884,3
Switzerland,2022,6035.384338,3
Türkiye,2022,71511.54995,3
United Kingdom,2022,42015.0133,3
United States,2022,593383.1429,3
