Year,World Population,Built-up Area (HYDE (2017)),Grazing (HYDE (2017)),Cropland (HYDE (2017)),All fertilizers used,Arable land needed to produce a fixed quantity of crops,Build-up area per Capita,Grazing per Capita,Cropland per Capita,Humans Density/km2,Fertilizer used per Capita[t]
1970,3700437046,26608839.0,3053535281.0,1422972022.0,89633444.0,0.802063,0.007190728735343009,0.8251823346922573,0.38454161071005555,24.93068770927514,0.024222393972865873
1971,3775759617,,,,93738687.0,0.77684474,,,,25.43815303613175,0.02482644461208559
1972,3851650245,,,,99686066.0,0.7936721,,,,25.949445492457674,0.025881391003611233
1973,3927780238,,,,106641772.0,0.7343673,,,,26.462350605339928,0.027150646303547087
1974,4003794172,,,,103748282.0,0.7409301,,,,26.97447380228931,0.025912491387681653
1975,4079480606,,,,111526956.0,0.727903,,,,27.484390557101374,0.027338518495704792
1976,4154666864,,,,119130745.0,0.71502304,,,,27.990937512211225,0.028673958442315194
1977,4229506060,,,,123859648.0,0.6981097,,,,28.495146231531574,0.02928466025179309
1978,4304533501,,,,130797079.0,0.66483265,,,,29.000623200317996,0.03038588942788205
1979,4380506100,,,,135745727.0,0.6617437,,,,29.512467913952126,0.03098859444574224
1980,4458003514,31307488.0,3139145118.0,1453244731.0,139553371.0,0.6707375,0.007022759829973521,0.7041594086101027,0.3259855508045703,30.03458565374691,0.03130400650464808
1981,4536996762,,,,138245781.0,0.6421249,,,,30.566781168100572,0.030470769156788743
1982,4617386542,,,,138062518.0,0.6200892,,,,31.10838543680817,0.02990057616882966
1983,4699569304,,,,148531919.0,0.63020027,,,,31.66206943387074,0.03160543219855876
1984,4784011621,,,,154354186.0,0.59909093,,,,32.23097656792136,0.03226459261144842
1985,4870921740,,,,152559964.0,0.5978688,,,,32.81650984645858,0.031320553304557915
1986,4960567912,,,,157045133.0,0.5938123,,,,33.42047653760384,0.03165870033148737
1987,5052522147,,,,163178841.0,0.5894338,,,,34.03999317518814,0.03229651177222242
1988,5145426008,,,,168913755.0,0.5885213,,,,34.6659076595544,0.032827943641085586
1989,5237441558,,,,167274481.0,0.56155515,,,,35.2858373902674,0.031938204779487105
1990,5327231061,37508614.0,3272222928.0,1516732121.0,161993077.0,0.5479415,0.007040921178470355,0.6142446029712395,0.2847130345262867,35.890769735024826,0.030408494609128426
1991,5414289444,,,,159437415.0,0.55023474,,,,36.47730190191944,0.02944752338216516
1992,5498919809,,,,150741443.0,0.5300392,,,,37.04747595820224,0.027412918943332056
1993,5581597546,,,,145521388.0,0.52856874,,,,37.604494714644716,0.026071637519671505
1994,5663150427,,,,147085441.0,0.5147872,,,,38.15393505986027,0.02597237048458858
1995,5744212979,,,,155120841.0,0.50611866,,,,38.700071946856745,0.027004716149470614
1996,5824891951,,,,159394070.0,0.477922,,,,39.24362456797526,0.027364296426586197
1997,5905045788,,,,161414664.0,0.4708617,,,,39.7836392349204,0.02733504020036906
1998,5984793942,,,,162029168.0,0.4655292,,,,40.3209207230393,0.027073474804690276
1999,6064239055,,,,164361395.0,0.4507483,,,,40.85616055487809,0.0271033832125208
2000,6143493823,44944748.0,3323222266.0,1509306389.0,161338804.0,0.43903017,0.007315828630239025,0.5409336058186511,0.2456755768760541,41.390117989072216,0.026261734551759473
2001,6222626606,45737166.0,3323374028.0,1518177061.0,163281998.0,0.4319365,0.00735013827696156,0.5340789731454441,0.24397688582762442,41.923253582520935,0.02624004433153031
2002,6301773188,46536305.0,3319374882.0,1517080185.0,167465489.0,0.4274361,0.0073846366112661176,0.5267366474440622,0.24073862066138202,42.45648214297745,0.02657434407809093
2003,6381185114,47352384.0,3304727305.0,1523506664.0,172811392.0,0.41808194,0.0074206253468671905,0.5178861365030132,0.2387497991019729,42.99149838643392,0.027081394586228266
2004,6461159389,48190380.0,3309816587.0,1535440379.0,180224281.0,0.39524558,0.007458472558662335,0.5122635718652754,0.23764161918278287,43.53030330326284,0.027893489411022484
2005,6541907027,49051294.0,3300483246.0,1534205261.0,178191314.0,0.38989106,0.007498011481599126,0.5045139333803008,0.23451957581603827,44.07431854287235,0.0272384357137089
2006,6623517833,49936950.0,3300985246.0,1533515350.0,185968467.0,0.38131037,0.007539339556270505,0.49837342168140275,0.2315258128180237,44.624149142014026,0.028076993478217755
2007,6705946610,50817217.0,3301643639.0,1525340692.0,188290162.0,0.37059617,0.007577933430639109,0.492345649468271,0.22746090607482483,45.17949059819846,0.028078088441566045
2008,6789088686,51715076.0,3299151565.0,1532388850.0,175138654.0,0.35419148,0.0076173811231312,0.48594910415639253,0.22571348245309988,45.739637712306894,0.025797078532964094
2009,6872767093,52622318.0,3293125060.0,1540100533.0,186551587.0,0.35375658,0.007656642119241389,0.47915563199487576,0.2240874035391963,46.30339821059227,0.027143592162464685
2010,6956823603,53557240.0,3288974217.0,1531374362.0,195971210.0,0.3448432,0.007698519188686119,0.47276952883808804,0.22012551264626337,46.8697060749584,0.02816963907428831
2011,7041194301,54522953.0,3291976884.0,1546085911.0,202587552.0,0.33092573,0.0077434240086595215,0.46753103852459643,0.21957722580960773,47.438130695484034,0.02877175992306138
2012,7125828059,55504321.0,3289472135.0,1562414590.0,205456670.0,0.33143076,0.007789174891737308,0.46162664995057806,0.21926077601979926,48.0083276111811,0.028832672960794493
2013,7210581976,56492179.0,3285491703.0,1559510783.0,209966285.0,0.3170635,0.00783462128133775,0.4556486167046664,0.2162808478137743,48.57933406544543,0.029119187008602148
2014,7295290765,57502946.0,3285046287.0,1574981412.0,210467185.0,0.31081852,0.007882200703483543,0.45029682747675925,0.21589014923930863,49.15003648208908,0.028849732214888627
2015,7379797139,58547277.0,3283588727.0,1580596135.0,213272404.0,0.3074105,0.007933453440148824,0.44494295238106546,0.21417880535591238,49.71937518274731,0.02889949411656856
2016,7464022049,59563767.0,3280464178.0,1592583606.0,215131126.0,0.3033466,0.00798011669967938,0.4395035486851896,0.21336802002257857,50.28681759629183,0.028822412981593805
